Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Country,Customer,CustomerName,CustomerName (copy),Date,DealCategory,DealSize,Month,Month ,Order Quarter,Order Year,OrderDate,Phone,Postalcode,Productcode,Products,Quarter,Quarter (Sheet11),Sales (bin),SalesCategory,State,Status,Territory,Year,Year (Sheet11),CustomerGroup,Msrp,Orderlinenumber,Ordernumber,OrderQuantity,Sales,UnitPrice,ZeroIfNull-OrderQuantity
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,18-11-2004,Small,Small,November,11,Q4,2004,18-11-2004,6505555787,,S32_3522,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,CA,Shipped,NA,2004,2004,1,64,4,10333,33,$0.00M,73.69,33
2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,US,Vitachrome Inc.,Vitachrome Inc.,Vitachrome Inc.,05-11-2004,Small,Small,November,11,Q4,2004,05-11-2004,2125551500,10022,S32_1268,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,NY,Shipped,NA,2004,2004,1,96,11,10324,20,$0.00M,98.18,20
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,01-12-2004,Small,Small,December,12,Q4,2004,01-12-2004,2125557413,10022,S32_2509,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,NY,Shipped,NA,2004,2004,1,54,1,10349,33,$0.00M,46.53,33
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,21-10-2004,Small,Small,October,10,Q4,2004,21-10-2004,4155551450,97562,S18_4668,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,50,1,10312,39,$0.00M,56.85,39
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,21-10-2004,Small,Small,October,10,Q4,2004,21-10-2004,4155551450,97562,S24_2022,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,44,12,10312,23,$0.00M,37.63,23
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,21-10-2004,Small,Small,October,10,Q4,2004,21-10-2004,4155551450,97562,S24_1937,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,33,13,10312,39,$0.00M,29.54,39
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,21-10-2004,Small,Small,October,10,Q4,2004,21-10-2004,4155551450,97562,S24_3969,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,41,15,10312,31,$0.00M,35.29,31
3758 North Pendale Street,,White Plains,Steve,Frick,US,Mini Classics,Mini Classics,Mini Classics,15-10-2004,Small,Small,October,10,Q4,2004,15-10-2004,9145554562,24067,S50_1341,Vintage Cars,4,Q4,$0.00M,Vintage Cars,NY,Shipped,NA,2004,2004,1,43,11,10308,47,$0.00M,43.64,47
782 First Street,,Philadelphia,Francisca,Cervantes,US,"Classic Gift Ideas, Inc","Classic Gift Ideas, Inc","Classic Gift Ideas, Inc",14-10-2004,Small,Small,October,10,Q4,2004,14-10-2004,2155554695,71270,S24_3420,Vintage Cars,4,Q4,$0.00M,Vintage Cars,PA,Shipped,NA,2004,2004,1,65,3,10307,22,$0.00M,71.67,22
782 First Street,,Philadelphia,Francisca,Cervantes,US,"Classic Gift Ideas, Inc","Classic Gift Ideas, Inc","Classic Gift Ideas, Inc",14-10-2004,Small,Small,October,10,Q4,2004,14-10-2004,2155554695,71270,S24_3816,Vintage Cars,4,Q4,$0.00M,Vintage Cars,PA,Shipped,NA,2004,2004,1,83,8,10307,22,$0.00M,91.41,22
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,18-11-2004,Small,Small,November,11,Q4,2004,18-11-2004,6505555787,,S18_4668,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,50,8,10333,24,$0.00M,79.86,24
2304 Long Airport Avenue,,Nashua,Valarie,Young,US,Online Diecast Creations Co.,Online Diecast Creations Co.,Online Diecast Creations Co.,04-11-2004,Small,Small,November,11,Q4,2004,04-11-2004,6035558647,62005,S24_1937,Vintage Cars,4,Q4,$0.00M,Vintage Cars,NH,Shipped,NA,2004,2004,1,33,3,10322,20,$0.00M,100,20
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,29-11-2004,Small,Small,November,11,Q4,2004,29-11-2004,7025551838,83030,S24_3969,Vintage Cars,4,Q4,$0.00M,Vintage Cars,NV,Shipped,NA,2004,2004,1,41,4,10346,22,$0.00M,97.44,22
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,10-12-2004,Small,Small,December,12,Q4,2004,10-12-2004,4155551450,97562,S18_3320,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CA,Shipped,NA,2004,2004,1,99,3,10357,25,$0.00M,100,25
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,04-12-2004,Small,Small,December,12,Q4,2004,04-12-2004,2035554407,97561,S32_4289,Vintage Cars,4,Q4,$0.00M,Vintage Cars,CT,Shipped,NA,2004,2004,1,68,7,10353,40,$0.00M,44.51,40
,,,,,,,,,25-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,03-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,14-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,18-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,11-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,15-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,30-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,29-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,09-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,01-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,02-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,21-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,13-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,08-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,04-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,16-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,22-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,24-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,17-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,27-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,28-01-2005,,,,1,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,20-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,13-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,07-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,24-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,06-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,25-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,15-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,14-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,27-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,26-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,12-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,04-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,01-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,21-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,11-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,19-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,05-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,18-02-2005,,,,2,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,05-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,19-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,31-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,13-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,06-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,20-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,29-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,21-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,14-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,07-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,24-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,18-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,11-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,26-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,08-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,22-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,16-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,25-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,27-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
,,,,,,,,,12-03-2005,,,,3,,,,,,,,,Q1,,,,,,,2005,0,,,,,,,0
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",09-03-2005,Large,Large,March,3,Q1,2005,09-03-2005,02 9936 8555,2060,S24_1937,Vintage Cars,1,Q1,$0.01M,Vintage Cars,NSW,Shipped,APAC,2005,2005,1,33,8,10391,33,$0.01M,100,33
Keskuskatu 45,,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.","Toys of Finland, Co.","Toys of Finland, Co.",09-02-2005,Large,Large,February,2,Q1,2005,09-02-2005,90-224 8555,21240,S18_3232,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,169,3,10377,39,$0.01M,100,39
"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,France,La Rochelle Gifts,La Rochelle Gifts,La Rochelle Gifts,03-02-2005,Large,Large,February,2,Q1,2005,03-02-2005,40.67.8555,44000,S24_4278,Planes,1,Q1,$0.01M,Planes,,Shipped,EMEA,2005,2005,1,72,2,10375,43,$0.01M,100,43
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,17-03-2005,Large,Large,March,3,Q1,2005,17-03-2005,+33 1 46 62 7555,75508,S50_1514,Trains,1,Q1,$0.01M,Trains,,Shipped,EMEA,2005,2005,1,58,3,10395,45,$0.01M,100,45
2-2-8 Roppongi,,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd","Tokyo Collectables, Ltd","Tokyo Collectables, Ltd",26-01-2005,Large,Large,January,1,Q1,2005,26-01-2005,+81 3 3584 0555,106-0032,S18_4027,Classic Cars,1,Q1,$0.01M,Classic Cars,Tokyo,Shipped,Japan,2005,2005,1,143,6,10372,48,$0.01M,100,48
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,04-03-2005,Large,Large,March,3,Q1,2005,04-03-2005,4155551450,97562,S18_3482,Classic Cars,1,Q1,$0.01M,Classic Cars,CA,Shipped,NA,2005,2005,1,146,1,10390,50,$0.01M,100,50
1785 First Street,,New Bedford,Violeta,Benitez,US,FunGiftIdeas.com,FunGiftIdeas.com,FunGiftIdeas.com,03-03-2005,Large,Large,March,3,Q1,2005,03-03-2005,5085552555,50553,S700_1691,Planes,1,Q1,$0.01M,Planes,MA,Shipped,NA,2005,2005,1,91,2,10388,46,$0.01M,100,46
1785 First Street,,New Bedford,Violeta,Benitez,US,FunGiftIdeas.com,FunGiftIdeas.com,FunGiftIdeas.com,03-03-2005,Large,Large,March,3,Q1,2005,03-03-2005,5085552555,50553,S700_2834,Planes,1,Q1,$0.01M,Planes,MA,Shipped,NA,2005,2005,1,118,3,10388,50,$0.01M,100,50
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,17-02-2005,Large,Large,February,2,Q1,2005,17-02-2005,4155551450,97562,S18_4668,Vintage Cars,1,Q1,$0.01M,Vintage Cars,CA,Shipped,NA,2005,2005,1,50,2,10382,39,$0.01M,100,39
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,17-02-2005,Large,Large,February,2,Q1,2005,17-02-2005,4155551450,97562,S18_3320,Vintage Cars,1,Q1,$0.01M,Vintage Cars,CA,Shipped,NA,2005,2005,1,99,7,10382,50,$0.01M,100,50
31 Duncan St. West End,,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co","Australian Gift Network, Co","Australian Gift Network, Co",02-02-2005,Medium,Medium,February,2,Q1,2005,02-02-2005,61-7-3844-6555,4101,S24_1578,Motorcycles,1,Q1,$0.00M,Motorcycles,Queensland,Shipped,APAC,2005,2005,1,112,6,10374,38,$0.00M,100,38
31 Duncan St. West End,,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co","Australian Gift Network, Co","Australian Gift Network, Co",02-02-2005,Medium,Medium,February,2,Q1,2005,02-02-2005,61-7-3844-6555,4101,S24_1785,Planes,1,Q1,$0.00M,Planes,Queensland,Shipped,APAC,2005,2005,1,109,3,10374,46,$0.00M,94.1,46
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",20-01-2005,Medium,Medium,January,1,Q1,2005,20-01-2005,02 9936 8555,2060,S32_3522,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,NSW,Shipped,APAC,2005,2005,1,64,3,10370,25,$0.00M,100,25
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",09-03-2005,Medium,Medium,March,3,Q1,2005,09-03-2005,02 9936 8555,2060,S24_2022,Vintage Cars,1,Q1,$0.00M,Vintage Cars,NSW,Shipped,APAC,2005,2005,1,44,1,10391,24,$0.00M,100,24
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S24_4278,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,72,8,10386,50,$0.00M,63.34,50
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S24_3949,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,68,12,10386,41,$0.00M,73.32,41
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S700_2466,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,99,14,10386,37,$0.00M,83.84,37
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S700_4002,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,74,15,10386,44,$0.00M,86.4,44
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S72_1253,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,49,16,10386,50,$0.00M,87.15,50
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S700_3167,Planes,1,Q1,$0.00M,Planes,,Resolved,EMEA,2005,2005,1,80,17,10386,32,$0.00M,94.34,32
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S700_3505,Ships,1,Q1,$0.00M,Ships,,Resolved,EMEA,2005,2005,1,100,2,10386,45,$0.00M,92.08,45
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S72_3212,Ships,1,Q1,$0.01M,Ships,,Resolved,EMEA,2005,2005,1,54,4,10386,43,$0.01M,100,43
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,01-03-2005,Medium,Medium,March,3,Q1,2005,01-03-2005,(91) 555 94 44,28034,S700_2610,Ships,1,Q1,$0.01M,Ships,,Resolved,EMEA,2005,2005,1,72,10,10386,37,$0.01M,100,37
"Boulevard Tirou, 255",,Charleroi,Pascale,Cartrain,Belgium,Royale Belge,Royale Belge,Royale Belge,10-01-2005,Medium,Medium,January,1,Q1,2005,10-01-2005,(071) 23 67 2555,B-6000,S18_3232,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,169,1,10366,34,$0.01M,100,34
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,06-01-2005,Medium,Medium,January,1,Q1,2005,06-01-2005,+358 9 8045 555,FIN-02271,S24_4620,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,80,9,10363,43,$0.01M,100,43
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,06-01-2005,Medium,Medium,January,1,Q1,2005,06-01-2005,+358 9 8045 555,FIN-02271,S18_3482,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,146,11,10363,24,$0.00M,100,24
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,22-02-2005,Medium,Medium,February,2,Q1,2005,22-02-2005,(91) 555 94 44,28034,S18_4027,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,143,1,10383,38,$0.01M,100,38
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,16-02-2005,Medium,Medium,February,2,Q1,2005,16-02-2005,(91) 555 94 44,28034,S18_4933,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,71,2,10380,24,$0.00M,100,24
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,10-02-2005,Medium,Medium,February,2,Q1,2005,10-02-2005,(91) 555 94 44,28034,S24_4620,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,80,2,10378,41,$0.00M,100,41
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,10-02-2005,Medium,Medium,February,2,Q1,2005,10-02-2005,(91) 555 94 44,28034,S24_1628,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,50,3,10379,32,$0.00M,100,32
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,16-02-2005,Medium,Medium,February,2,Q1,2005,16-02-2005,(91) 555 94 44,28034,S24_1046,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,73,3,10380,34,$0.00M,100,34
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,22-02-2005,Medium,Medium,February,2,Q1,2005,22-02-2005,(91) 555 94 44,28034,S24_2840,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,35,3,10383,40,$0.01M,100,40
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,22-02-2005,Medium,Medium,February,2,Q1,2005,22-02-2005,(91) 555 94 44,28034,S18_3232,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,169,6,10383,47,$0.01M,100,47
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,10-02-2005,Medium,Medium,February,2,Q1,2005,10-02-2005,(91) 555 94 44,28034,S24_2972,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,37,7,10378,41,$0.01M,100,41
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,10-02-2005,Medium,Medium,February,2,Q1,2005,10-02-2005,(91) 555 94 44,28034,S18_4721,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,148,8,10378,49,$0.00M,67.14,49
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,16-02-2005,Medium,Medium,February,2,Q1,2005,16-02-2005,(91) 555 94 44,28034,S24_3191,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,85,9,10380,44,$0.00M,79.06,44
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,10-02-2005,Medium,Medium,February,2,Q1,2005,10-02-2005,(91) 555 94 44,28034,S18_3482,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,146,10,10378,43,$0.00M,96.49,43
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,16-02-2005,Medium,Medium,February,2,Q1,2005,16-02-2005,(91) 555 94 44,28034,S24_3432,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,107,11,10380,34,$0.00M,100,34
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,15-03-2005,Medium,Medium,March,3,Q1,2005,15-03-2005,(91) 555 94 44,28034,S18_4027,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,143,1,10394,37,$0.01M,100,37
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,15-03-2005,Medium,Medium,March,3,Q1,2005,15-03-2005,(91) 555 94 44,28034,S18_3232,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,169,5,10394,22,$0.00M,100,22
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,15-03-2005,Medium,Medium,March,3,Q1,2005,15-03-2005,(91) 555 94 44,28034,S24_4048,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2005,2005,1,118,7,10394,37,$0.01M,100,37
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,06-01-2005,Medium,Medium,January,1,Q1,2005,06-01-2005,+358 9 8045 555,FIN-02271,S32_1374,Motorcycles,1,Q1,$0.01M,Motorcycles,,Shipped,EMEA,2005,2005,1,99,2,10363,50,$0.01M,100,50
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,06-01-2005,Medium,Medium,January,1,Q1,2005,06-01-2005,+358 9 8045 555,FIN-02271,S24_2000,Motorcycles,1,Q1,$0.00M,Motorcycles,,Shipped,EMEA,2005,2005,1,76,8,10363,21,$0.00M,100,21
